Date,Cum_end_stor_km3
10/31/1973,0
11/30/1973,0.166824954
12/31/1973,0.334649413
1/31/1974,0.564136044
2/28/1974,0.770979192
3/31/1974,0.978114186
4/30/1974,1.093299897
5/31/1974,1.064391591
6/30/1974,1.011859046
7/31/1974,0.945827201
8/31/1974,0.886287019
9/30/1974,0.853001392
10/31/1974,0.937345778
11/30/1974,1.006475435
12/31/1974,1.091705228
1/31/1975,1.173875817
2/28/1975,1.329030628
3/31/1975,1.460261829
4/30/1975,1.512794497
5/31/1975,1.397297082
6/30/1975,1.286452551
7/31/1975,1.166652071
8/31/1975,1.084036065
9/30/1975,1.03863315
10/31/1975,1.104608995
11/30/1975,1.164116858
12/31/1975,1.214425033
1/31/1976,1.250751114
2/29/1976,1.286745508
3/31/1976,1.274814602
4/30/1976,1.200894031
5/31/1976,0.819543938
6/30/1976,0.577643239
7/31/1976,0.327790413
8/31/1976,0.140378097
9/30/1976,0.141642312
10/31/1976,0.121880531
11/30/1976,0.173072755
12/31/1976,0.210945892
1/31/1977,0.257718979
2/28/1977,0.233156417
3/31/1977,0.195330152
4/30/1977,0.052928375
5/31/1977,-0.244311451
6/30/1977,-0.501148477
7/31/1977,-0.767942932
8/31/1977,-0.972249757
9/30/1977,-1.102750604
10/31/1977,-1.077648755
11/30/1977,-1.045323654
12/31/1977,-0.937101915
1/31/1978,-0.739705527
2/28/1978,-0.370829449
3/31/1978,0.179878961
4/30/1978,0.474281243
5/31/1978,0.549891463
6/30/1978,0.576582183
7/31/1978,0.563806823
8/31/1978,0.59548557
9/30/1978,0.72219254
10/31/1978,0.863336148
11/30/1978,1.047995292
12/31/1978,1.198419507
1/31/1979,1.376255915
2/28/1979,1.610940392
3/31/1979,1.86070934
4/30/1979,1.975814132
5/31/1979,1.900986815
6/30/1979,1.802963654
7/31/1979,1.717564009
8/31/1979,1.615064599
9/30/1979,1.511849266
10/31/1979,1.573263381
11/30/1979,1.629966389
12/31/1979,1.665417179
1/31/1980,1.924907834
2/29/1980,2.347604724
3/31/1980,2.801739459
4/30/1980,3.111191181
5/31/1980,3.194628452
6/30/1980,3.196362629
7/31/1980,3.174754546
8/31/1980,3.189096327
9/30/1980,3.212045842
10/31/1980,3.315434111
11/30/1980,3.377677261
12/31/1980,3.432820509
1/31/1981,3.543485935
2/28/1981,3.688791618
3/31/1981,3.812661292
4/30/1981,3.706416606
5/31/1981,3.412249552
6/30/1981,3.18687393
7/31/1981,2.987180519
8/31/1981,2.741946533
9/30/1981,2.578275762
10/31/1981,2.60253587
11/30/1981,2.649044001
12/31/1981,2.658578709
1/31/1982,2.847251415
2/28/1982,3.101626622
3/31/1982,3.434928067
4/30/1982,3.733202429
5/31/1982,3.739560381
6/30/1982,3.788655778
7/31/1982,3.766961967
8/31/1982,3.798517981
9/30/1982,3.868184334
10/31/1982,4.010705021
11/30/1982,4.242509891
12/31/1982,4.52139314
1/31/1983,5.007959427
2/28/1983,5.631150763
3/31/1983,6.528456391
4/30/1983,6.976911845
5/31/1983,7.136175814
6/30/1983,7.237228082
7/31/1983,7.261103214
8/31/1983,7.292568812
9/30/1983,7.35893395
10/31/1983,7.462939709
11/30/1983,7.631836943
12/31/1983,7.820477085
1/31/1984,7.995464602
2/29/1984,8.170278072
3/31/1984,8.220319687
4/30/1984,8.225948765
5/31/1984,7.893442311
6/30/1984,7.761458057
7/31/1984,7.634075129
8/31/1984,7.505289218
9/30/1984,7.372885698
10/31/1984,7.422966785
11/30/1984,7.455470497
12/31/1984,7.526723871
1/31/1985,7.587643475
2/28/1985,7.69755992
3/31/1985,7.72617194
4/30/1985,7.630240424
5/31/1985,7.320244729
6/30/1985,7.131471122
7/31/1985,6.955553423
8/31/1985,6.708246294
9/30/1985,6.603233875
10/31/1985,6.599661289
11/30/1985,6.700621414
12/31/1985,6.792499771
1/31/1986,6.899629863
2/28/1986,7.20541624
3/31/1986,7.719200568
4/30/1986,7.938265357
5/31/1986,7.91470341
6/30/1986,7.825769294
7/31/1986,7.744504217
8/31/1986,7.641393855
9/30/1986,7.63213619
10/31/1986,7.649064251
11/30/1986,7.700283365
12/31/1986,7.753005005
1/31/1987,7.817167728
2/28/1987,7.944050719
3/31/1987,8.008102303
4/30/1987,7.838809485
5/31/1987,7.53091074
6/30/1987,7.255792257
7/31/1987,7.030192754
8/31/1987,6.757317638
9/30/1987,6.604420009
10/31/1987,6.605908596
11/30/1987,6.648696984
12/31/1987,6.639263176
1/31/1988,6.684956704
2/29/1988,6.741286455
3/31/1988,6.682685584
4/30/1988,6.689176384
5/31/1988,6.278589997
6/30/1988,5.992529999
7/31/1988,5.69645213
8/31/1988,5.430547645
9/30/1988,5.239307902
10/31/1988,5.244063045
11/30/1988,5.270165015
12/31/1988,5.321825722
1/31/1989,5.354289468
2/28/1989,5.397736669
3/31/1989,5.404777487
4/30/1989,5.234636021
5/31/1989,4.935785985
6/30/1989,4.725999459
7/31/1989,4.473738101
8/31/1989,4.233325744
9/30/1989,4.107332107
10/31/1989,4.079067441
11/30/1989,4.095759163
12/31/1989,4.070791519
1/31/1990,4.114997939
2/28/1990,4.14722177
3/31/1990,4.038487388
4/30/1990,3.9380441
5/31/1990,3.582717772
6/30/1990,3.301556126
7/31/1990,2.998369844
8/31/1990,2.740779889
9/30/1990,2.576546025
10/31/1990,2.557871575
11/30/1990,2.562372863
12/31/1990,2.5440713
1/31/1991,2.552296155
2/28/1991,2.520869289
3/31/1991,2.814557128
4/30/1991,2.772349841
5/31/1991,2.472643879
6/30/1991,2.277084296
7/31/1991,2.057565455
8/31/1991,1.838108659
9/30/1991,1.658142613
10/31/1991,1.683137024
11/30/1991,1.672936102
12/31/1991,1.711587824
1/31/1992,1.760316625
2/29/1992,1.878908152
3/31/1992,1.941688492
4/30/1992,1.732148789
5/31/1992,1.395657267
6/30/1992,1.145761022
7/31/1992,0.874681881
8/31/1992,0.582949263
9/30/1992,0.428352241
10/31/1992,0.410609824
11/30/1992,0.445916788
12/31/1992,0.519266495
1/31/1993,0.736920777
2/28/1993,1.00012328
3/31/1993,1.259807965
4/30/1993,1.357118656
