Year,Ss_MA6,Sy_MA6,Mean_of_sy_ss
3/15/2002,8.55E-05,0.487548676,2.44E-01
4/15/2002,-0.000328156,-2.447286494,-1.22E+00
5/15/2002,-0.000413405,-3.005095651,-1.50E+00
6/15/2002,-0.000124415,-1.048840825,-5.24E-01
7/15/2002,-7.06E-05,-0.688938278,-3.45E-01
8/15/2002,-0.000288861,-2.274032466,-1.14E+00
9/15/2002,-0.000118436,-1.124841186,-5.62E-01
10/15/2002,0.000303162,1.822997962,9.12E-01
11/15/2002,0.000262604,1.506667449,7.53E-01
12/15/2002,0.000217768,1.175836899,5.88E-01
1/15/2003,-2.25E-05,-0.420425183,-2.10E-01
2/15/2003,-0.000209511,-1.697406277,-8.49E-01
3/15/2003,-0.000447635,-3.297309494,-1.65E+00
4/15/2003,-0.000507434,-3.680956702,-1.84E+00
5/15/2003,-0.000437045,-3.165916341,-1.58E+00
6/15/2003,-0.000504707,-3.597895531,-1.80E+00
7/15/2003,-0.000431582,-3.120661899,-1.56E+00
8/15/2003,-0.000211199,-1.602649589,-8.01E-01
9/15/2003,-0.000199694,-1.547948054,-7.74E-01
10/15/2003,-0.000129997,-1.06955161,-5.35E-01
11/15/2003,-6.46E-05,-0.655080908,-3.28E-01
12/15/2003,-5.98E-05,-0.667222821,-3.34E-01
1/15/2004,-7.64E-05,-0.769614197,-3.85E-01
2/15/2004,-0.000295417,-2.277722091,-1.14E+00
3/15/2004,-0.000283877,-2.188358255,-1.09E+00
4/15/2004,-0.000507305,-3.758686111,-1.88E+00
5/15/2004,-0.000571796,-4.167737802,-2.08E+00
6/15/2004,-0.000371045,-2.692453766,-1.35E+00
7/15/2004,-0.000339495,-2.513718629,-1.26E+00
8/15/2004,-0.000404936,-2.94796616,-1.47E+00
9/15/2004,-0.000438137,-3.189276229,-1.59E+00
10/15/2004,-0.00027237,-2.030156977,-1.02E+00
11/15/2004,-0.000310234,-2.303501097,-1.15E+00
12/15/2004,-0.00064008,-4.590326035,-2.30E+00
1/15/2005,-0.000600316,-4.289731115,-2.15E+00
2/15/2005,-0.000192135,-1.441398993,-7.21E-01
3/15/2005,-0.000114742,-0.894766053,-4.47E-01
4/15/2005,-0.000135484,-1.017663269,-5.09E-01
5/15/2005,-9.86E-05,-0.757111081,-3.79E-01
6/15/2005,-7.41E-05,-0.61459392,-3.07E-01
7/15/2005,-0.000120165,-0.947113434,-4.74E-01
8/15/2005,-0.000341238,-2.549759027,-1.28E+00
9/15/2005,-0.000432599,-3.186415958,-1.59E+00
10/15/2005,-0.000364098,-2.740299244,-1.37E+00
11/15/2005,-0.000360541,-2.73831103,-1.37E+00
12/15/2005,-0.000203129,-1.606002088,-8.03E-01
1/15/2006,-0.000202633,-1.577763336,-7.89E-01
2/15/2006,-0.000314972,-2.321231416,-1.16E+00
3/15/2006,-0.000210831,-1.61568617,-8.08E-01
4/15/2006,-0.000237392,-1.781377933,-8.91E-01
5/15/2006,-0.000252934,-1.86389177,-9.32E-01
6/15/2006,-0.000280897,-2.110475954,-1.06E+00
7/15/2006,-0.000302929,-2.272244149,-1.14E+00
8/15/2006,-2.43E-05,-0.34967705,-1.75E-01
9/15/2006,-8.41E-05,-0.766501383,-3.83E-01
10/15/2006,-5.48E-05,-0.576861213,-2.88E-01
11/15/2006,-3.87E-05,-0.488493964,-2.44E-01
12/15/2006,-0.000155968,-1.298342471,-6.49E-01
1/15/2007,-0.000125344,-1.071924366,-5.36E-01
2/15/2007,-0.00044149,-3.273211504,-1.64E+00
3/15/2007,-0.000381546,-2.84988936,-1.43E+00
4/15/2007,-0.000378516,-2.818006766,-1.41E+00
5/15/2007,-0.000410294,-2.999321966,-1.50E+00
6/15/2007,-0.000484755,-3.505696909,-1.75E+00
7/15/2007,-0.000558025,-4.033189361,-2.02E+00
8/15/2007,-0.000601428,-4.281926587,-2.14E+00
9/15/2007,-0.000843097,-5.98199522,-2.99E+00
10/15/2007,-0.000965312,-6.821210441,-3.41E+00
11/15/2007,-0.000937579,-6.664403802,-3.33E+00
12/15/2007,-0.000782605,-5.579429725,-2.79E+00
1/15/2008,-0.000761208,-5.465986127,-2.73E+00
2/15/2008,-0.000667507,-4.848174161,-2.42E+00
3/15/2008,-0.000572019,-4.134189053,-2.07E+00
4/15/2008,-0.000497432,-3.620907459,-1.81E+00
5/15/2008,-0.00049671,-3.590944574,-1.80E+00
6/15/2008,-0.000291804,-2.123623096,-1.06E+00
7/15/2008,-0.000384524,-2.722840599,-1.36E+00
8/15/2008,-0.000515561,-3.614430253,-1.81E+00
9/15/2008,-0.000684606,-4.850882469,-2.43E+00
10/15/2008,-0.000758552,-5.347240345,-2.67E+00
11/15/2008,-0.000813836,-5.777148911,-2.89E+00
12/15/2008,-0.001117162,-7.935911829,-3.97E+00
1/15/2009,-0.001024654,-7.273755769,-3.64E+00
2/15/2009,-0.000987615,-7.034175539,-3.52E+00
3/15/2009,-0.000905513,-6.355691739,-3.18E+00
4/15/2009,-0.000834599,-5.878679646,-2.94E+00
5/15/2009,-0.000748617,-5.237334423,-2.62E+00
6/15/2009,-0.000659563,-4.598395796,-2.30E+00
7/15/2009,-0.000759244,-5.303425625,-2.65E+00
8/15/2009,-0.000773877,-5.405705142,-2.70E+00
9/15/2009,-0.000748773,-5.305879275,-2.65E+00
10/15/2009,-0.000806853,-5.726247638,-2.86E+00
11/15/2009,-0.000770702,-5.536555276,-2.77E+00
12/15/2009,-0.00100987,-7.21034181,-3.61E+00
1/15/2010,-0.000905524,-6.480099275,-3.24E+00
2/15/2010,-0.000563455,-4.010611066,-2.01E+00
3/15/2010,-0.000458115,-3.259500655,-1.63E+00
4/15/2010,-0.00036146,-2.577056817,-1.29E+00
5/15/2010,-0.000528792,-3.675192103,-1.84E+00
6/15/2010,-0.000182305,-1.270968975,-6.36E-01
7/15/2010,-0.000280663,-1.935473759,-9.68E-01
8/15/2010,-0.00071929,-5.129645191,-2.57E+00
9/15/2010,-0.000788577,-5.590954124,-2.80E+00
10/15/2010,-0.000917048,-6.454120898,-3.23E+00
11/15/2010,-0.000847375,-6.009273599,-3.01E+00
12/15/2010,-0.001070883,-7.567274388,-3.78E+00
1/15/2011,-0.000967767,-6.868391409,-3.43E+00
2/15/2011,-0.00083789,-5.902262629,-2.95E+00
3/15/2011,-0.000706545,-5.01389139,-2.51E+00
4/15/2011,-0.00076318,-5.44499394,-2.72E+00
5/15/2011,-0.000839342,-5.93319299,-2.97E+00
6/15/2011,-0.000682678,-4.813346216,-2.41E+00
7/15/2011,-0.000711577,-5.019713718,-2.51E+00
8/15/2011,-0.000625178,-4.398080567,-2.20E+00
9/15/2011,-0.000689308,-4.836209788,-2.42E+00
10/15/2011,-0.000783225,-5.465346299,-2.73E+00
11/15/2011,-0.000669068,-4.723904316,-2.36E+00
12/15/2011,-0.00078276,-5.511370778,-2.76E+00
1/15/2012,-0.001025821,-7.217542519,-3.61E+00
2/15/2012,-0.001167415,-8.279398103,-4.14E+00
3/15/2012,-0.001091799,-7.760660628,-3.88E+00
4/15/2012,-0.000905813,-6.483650226,-3.24E+00
5/15/2012,-0.001191973,-8.426586318,-4.21E+00
6/15/2012,-0.001388163,-9.8174011,-4.91E+00
7/15/2012,-0.001169909,-8.291943007,-4.15E+00
8/15/2012,-0.000933136,-6.568524794,-3.28E+00
9/15/2012,-0.001154601,-8.14082379,-4.07E+00
10/15/2012,-0.000933738,-6.55622733,-3.28E+00
11/15/2012,-0.000770611,-5.490194819,-2.75E+00
12/15/2012,-0.000592515,-4.238032715,-2.12E+00
1/15/2013,-0.000890368,-6.309726084,-3.16E+00
2/15/2013,-0.000849819,-6.082055475,-3.04E+00
3/15/2013,-0.000832929,-5.920544674,-2.96E+00
4/15/2013,-0.00129618,-9.190814546,-4.60E+00
5/15/2013,-0.001410289,-9.85289707,-4.93E+00
6/15/2013,-0.001444897,-10.14742315,-5.07E+00
7/15/2013,-0.001186084,-8.351190891,-4.18E+00
8/15/2013,-0.00164992,-11.59182852,-5.80E+00
9/15/2013,-0.001615687,-11.3830643,-5.69E+00
10/15/2013,-0.0016045,-11.34890603,-5.68E+00
11/15/2013,-0.001444225,-10.34036209,-5.17E+00
12/15/2013,-0.001408336,-10.00686723,-5.00E+00
1/15/2014,-0.001733221,-12.25202617,-6.13E+00
2/15/2014,-0.00177315,-12.54388665,-6.27E+00
3/15/2014,-0.001787154,-12.58604799,-6.29E+00
4/15/2014,-0.002104209,-14.77418939,-7.39E+00
5/15/2014,-0.002203593,-15.39976807,-7.70E+00
6/15/2014,-0.002516518,-17.64721591,-8.82E+00
7/15/2014,-0.002248548,-15.78595199,-7.89E+00
8/15/2014,-0.002068641,-14.5180274,-7.26E+00
9/15/2014,-0.001886551,-13.32725631,-6.66E+00
10/15/2014,-0.001833515,-12.96731556,-6.48E+00
11/15/2014,-0.001775935,-12.62852864,-6.32E+00
12/15/2014,-0.001502005,-10.75061623,-5.38E+00
1/15/2015,-0.001695327,-12.10164642,-6.05E+00
2/15/2015,-0.002041845,-14.51102482,-7.26E+00
3/15/2015,-0.002371404,-16.69692537,-8.35E+00
